Company_Name,Contact_Person,Email,Phone,Address,Country,Specialization,Established_Year,Material_Categories
Ningbo Sunwell Sealing Materials Co.,Sales Director,info@sunwellsealing.com,+86 574 456 7890,"No. 123, Huaihai Road",China,Gaskets Manufacturer,2023,Gaskets
Ningbo Teng Qi Fasteners Co.,Shan Hong,info@china-bolts.com,+86 16657173465,"Hengxi Town, Yinzhou District",China,Manufacturer of bolts and fasteners,1996,Bolts
Oil & Gas Pipes Suppliers,Sales Manager,sales@oilgaspipes.com,+86 135 7890 1234,"No. 123, Zhongshan Road",China,Oil & Gas Pipes Suppliers,1998,Piping
SUFA Technology Industry Co.,Xu Min,xumin@chinasufa.com,+86 512 66621925,"No. 501 Zhujiang Road, Suzhou New District",China,State-owned valve manufacturer,1952,Valves
Shanxi Guanli Flange Co.,Xing Fei,xingfei@sxguanliflange.com,+86 350 6098138,"Chenjiaying Industrial Park, Dingxiang County",China,Manufacturer of forged flanges and fittings,1988,Fittings
Shengli Oil & Gas Pipe Holdings Limited,Managing Director,info@shenglipipe.com,+86 189 2345 6789,"No. 456, Renmin Road",China,Piping Supplier for Oil and Gas Industry,2021,Piping
Suzhou Douson Drilling & Production Equipment,Sales Manager,sales@douson.com,+86 512 6587 2345,"No. 168, Wuzhong Avenue",China,Oil and Gas Equipment Manufacturer,2004,Flanges
Tianjin Pipe Corporation (TPCO),Managing Director,info@tpco.com,+86 22 2436 5789,"No. 89, Industrial Zone",China,Piping Manufacturer for Oil and Gas Industry,1989,Piping
UNIASEN Carbon Steel Pipe,Export Manager,export@uniasen.com,+86 177 8901 2345,"No. 789, Xinhua Road",China,Piping Supplier for Oil and Gas Industry,1998,Piping
Vallourec Tianda,Technical Director,contact@vallourectianda.com,+86 138 5678 9012,"No. 321, Dongfang Road",China,Piping Supplier for Oil and Gas Industry,2021,Piping
Vervo Valve,Managing Director,info@vervovalve.com,+86 187 5678 9012,"No. 210, Renmin Road",China,Valve Manufacturer for Industrial Applications,1997,Valves
Weidouli Valves,Export Manager,export@wsvvalve.com,+86 158 2345 6789,"No. 876, Zhongshan Road",China,Valve Manufacturer for Industrial Applications,1989,Valves
Xuyi Titan and Materials Co.,Export Manager,sales@xuyititan.com,+86 517 456 7890,"No. 456, Zhongshan Road",China,Finned Tubes Manufacturer,2002,Finned tubes
Yingkou Liaohe Machinery Co.,Managing Director,info@liaohemachinery.com,+86 417 678 9012,"No. 321, Nanjing Road",China,Pipe Fittings Manufacturer,1989,Fittings
Youfa Construction Materials,General Manager,sales@youfaconstruction.com,+86 159 3456 7890,"No. 654, Huaihai Road",China,Piping Supplier for Oil and Gas Industry,2005,Piping
Yuanda Valve Group Co.,Sally,sally@hbyuanda.com,+86 319 6625220,"Yincun Town, Longyao County",China,Manufacturer of gate,1994,Valves
Zhejiang Jiuli Hi-Tech Metals Co.,Wang Changcheng,export@jiuli.com,+86 572 2539999,"36 Jiuli Road, Huzhou",China,Manufacturer of stainless steel pipes & tubes,1987,Piping
Zhejiang Kingland Pipeline Technologies,Marketing Director,info@kinglandpipe.com,+86 575 8921 6543,"No. 299, Jinqing Road",China,Pipeline Equipment Manufacturer,1997,Piping
Zhejiang Xinhai Valve Manufacturing Co.,Jeasin Lee,valves@xinhaivalve.com,+86 577 67007773,"Xinhai Industrial Zone, Oubei",China,Industrial valve manufacturer,1986,Valves
Zhejiang Yongxing Heat Exchanger Co.,Managing Director,info@yongxingheat.com,+86 577 678 9012,"No. 321, Dongfang Road",China,Industrial Equipment Supplier,2022,Finned tubes
AVK Holding A/S,,info@avk.dk,+45 8754 2100,"Søndergade 33, 8464 Galten",Denmark,Global manufacturer of valves for water and gas,1941,Valves
Danfoss A/S,,danfoss@danfoss.com,+45 7488 2222,"Nordborgvej 81, 6430 Nordborg",Denmark,Manufacturer of refrigeration and industrial valves & controls,1933,Controls
Neles Corporation,,communications@neles.com,+358 10 417 5000,"Vanha Porvoontie 229, 01380 Vantaa",Finland,Manufacturer of control valves and valve automation (formerly Metso),1956,Valves
Outokumpu Oyj,,info@outokumpu.com,+358 9 4211,"Salmisaarenranta 11, 00180 Helsinki",Finland,Global stainless steel producer (seamless pipes & tubes),1914,Stainless Steel
Descote S.A.,,sales@descote.com,+33 4 7850 3030,"165 Rue de la Vespière, 01700 Miribel",France,Designer and manufacturer of specialty valves for severe fluids,1975,Valves
Saint-Gobain PAM,,contact.pam@saint-gobain.com,+33 3 87605050,"21 Avenue Camille Cavallier, 54700 Pont-à-Mousson",France,Producer of ductile iron pipes,,Fittings
Vallourec S.A.,Edouard Guinotte,communications@vallourec.com,+33 1 49093500,"12 Rue de la Verrerie, 92190 Meudon",France,Producer of seamless steel pipes and tubular solutions,1957,Pipes
Vallourec S.A.,Technical Director,contact@vallourec.com,+33 1 456 7890,"Industrial Avenue 67, 75001 Paris",France,Piping Supplier for Oil and Gas Industry,1965,Piping
Armaturenfabrik Franz Schneider GmbH & Co. KG (AZ),,info@az-armaturen.de,+49 7622 6880,"Im Schachen 741, 79650 Schopfheim",Germany,Manufacturer of lubricated plug valves,1963,Valves
Butting Group,Regional Manager,contact@butting.de,+49 5834 50 0,"Gifhorner Straße 59, 29379 Knesebeck",Germany,Pipe Systems Manufacturer,,Piping
Böhmer GmbH,,boehmer@boehmer.de,+49 2324 70010,"Gedulderweg 95, 45549 Sprockhövel",Germany,Manufacturer of trunnion-mounted ball valves,1956,Valves
EEW Group,Sales Director,info@eewgroup.com,+49 30 567 8901,"High Street 89, 10115 Berlin",Germany,Piping Supplier for Oil and Gas Industry,1972,Piping
EJOT GmbH & Co. KG,Export Manager,contact@ejot.com,+49 2751 345 6789,"Park Road 67, 57319 Bad Berleburg",Germany,Bolts and Fasteners Manufacturer,1922,Bolts
Friedrich Geldbach GmbH,Managing Director,info@geldbach.com,+49 30 012 3456,"Green Lane 45, 10115 Berlin",Germany,Pipe Fittings Manufacturer,1968,Fittings
Garlock GmbH,General Manager,contact@garlock.com,+49 2131 234 5678,"Station Road 67, 41460 Neuss",Germany,Industrial Equipment Supplier,,Gaskets
Hartmann Valves GmbH,Export Manager,info@hartmannvalves.com,+49 40 123 4567,"Industrial Avenue 45, 20095 Hamburg",Germany,Valve Supplier for Oil and Gas Industry,1985,Valves
KSB SE & Co. KGaA,Dr. Stephan Timmermann,sales@ksb.com,+49 6233 860,"Johann-Klein-Strasse 9, 67227 Frankenthal",Germany,Manufacturer of pumps and industrial valves,,Valves
LESER GmbH & Co. KG,,sales@leser.com,+49 40 25165100,"Wendenstr. 133-135, 20537 Hamburg",Germany,Largest European manufacturer of safety relief valves,,Valves
SAMSON Aktiengesellschaft,,info@samson.de,+49 69 40090,"Weismüllerstr. 3, 60314 Frankfurt am Main",Germany,Manufacturer of control valves and regulators,1907,Valves
Schmöle GmbH,Export Manager,sales@schmoele.com,+49 2351 123 4567,"Church Street 45, 58507 Lüdenscheid",Germany,Finned Tubes Manufacturer,,Finned tubes
Wieland Thermal Solutions,Managing Director,info@wielandthermal.com,+49 731 012 3456,"Green Lane 123, 89079 Ulm",Germany,Industrial Equipment Supplier,,Finned tubes
Würth Group,Managing Director,info@wuerth.com,+49 7940 123 4567,"Industrial Avenue 123, 74653 Künzelsau",Germany,Bolts and Fasteners Manufacturer,1945,Bolts
Bharat Heavy Electricals Ltd. (BHEL),,bhel@bhel.in,+91 11 66337000,"BHEL House, Siri Fort",India,Public-sector manufacturer of power plant equipment & valves,1964,Boilers
Forbes Marshall Pvt. Ltd.,,response@forbesmarshall.com,+91 20 6674 8000,"Mumbai-Pune Rd, Kasarwadi",India,Manufacturer of steam engineering products and control valves,1946,Steam Systems
Hawa Valves,,sales@hawavalves.com,+91 22 2598 8326,"109 Udyog Kshetra, Mulund-Goregaon Link Rd",India,Manufacturer of API ball,2001,Valves
Jindal SAW Ltd.,,jsawmarketing@jindalsaw.com,+91 11 26188345,"Jindal Centre, 12 Bhikaji Cama Place",India,Manufacturer of steel line pipes and pipe fittings,1984,Fittings
Kirloskar Brothers Ltd.,,enquiry@kbl.co.in,+91 20 2721 4444,"Udyog Bhavan, Tilak Road",India,Manufacturer of pumps and industrial valves,1920,Pumps
L&T Valves Limited,,contactus@lntvalves.com,+91 44 2252 9910,"TC-1 Tower B, Mount-Poonamallee Rd",India,Leading manufacturer of flow-control valves (subsidiary of L&T),1961,Valves
Virgo Engineers Ltd.,,sales@virgoengineers.com,+91 20 66744777,"9-M, Pune Infotech Park",India,Manufacturer of ball valves and automation systems,1986,Valves
Ham-Let Group,,info@ham-let.com,+972 4 604 5000,"Industrial Zone North, Nazareth Illit 1703301",Israel,Manufacturer of instrumentation valves and fittings,1950,Fittings
Camozzi Automation SpA,,camozzi@camozzi.com,+39 030 37921,"Via Eritrea 20/I, 25126 Brescia",Italy,Manufacturer of pneumatic components and fittings,1964,Pneumatic Valves
Metalfar Prodotti Industriali S.p.A.,,sales@metalfaritaly.com,+39 031 655441,"Via Parini 28, 23861 Cesana Brianza (LC)",Italy,Leading manufacturer of forged steel flanges,1960,Flanges
Metalfar Prodotti Industriali SpA,Export Manager,sales@metalfar.com,+39 06 123 4567,"Park Road 45, 00144 Rome",Italy,Flanges Manufacturer,2018,Flanges
Officine Nicola Galperti e Figlio S.p.A.,Andrea Galperti,galperti@galperti.com,+39 0344 97200,"Via Trivio Fuentes 4, 22010 Gera Lario (CO)",Italy,Forging manufacturer of steel flanges,1921,Flanges
Raccordi Forgiati Srl,Technical Director,contact@raccordiforgiati.com,+39 02 901 2345,"Victoria Road 123, 20121 Milan",Italy,Pipe Fittings Manufacturer,1973,Fittings
Tecnoforge SpA,Managing Director,info@tecnoforge.com,+39 02 012 3456,"High Street 123, 20121 Milan",Italy,Flanges Manufacturer,2011,Flanges
Valvitalia,General Manager,sales@valvitalia.com,+39 02 234 5678,"Main Street 67, 20121 Milan",Italy,Valve Supplier for Oil and Gas Industry,2002,Valves
Kitz Corporation,,webinfo@kitz.co.jp,+81 43 299 0111,"1-10-1 Nakase, Mihama-ku",Japan,Manufacturer of industrial valves and brass valves,1951,Valves
Kurimoto,,public_relations@kurimoto.co.jp,+81 6 4964 8500,"2-2-8 Dojima, Kita-ku",Japan,Manufacturer of ductile iron pipes,1909,Pipe Fittings
Nippon Steel Corporation,,pr@nsc.co.jp,+81 3 6867 4111,"2-6-1 Marunouchi, Chiyoda-ku",Japan,Integrated steel producer (welded & seamless steel pipes),1950,Pipes
Kuwait Pipe Industries & Oil Services Co. (KPIOS),,info@kpiofs.com,+965 2326 6888,"Plot 1-5, Block 8",Kuwait,Manufacturer of spiral-welded steel pipes and pipe coatings,1966,Steel Pipes
ArcelorMittal S.A.,Operations Manager,info@arcelormittal.com,+352 789 0123,"Station Road 45, 2449 Luxembourg",Luxembourg,Piping Supplier for Oil and Gas Industry,2006,Piping
Tenaris S.A.,,communications@tenaris.com,+352 2647 8978,"29 Avenue de la Porte-Neuve, L-2227 Luxembourg",Luxembourg,Global producer of seamless steel tubular products,2002,Steel Pipes
Pantech Group Holdings Bhd.,,sales@pantechsteel.com,+60 3 7845 7898,"Lot 12143, Jalan Jaya 1",Malaysia,Stockist and manufacturer of pipes,1988,Flanges
Unimech Group Berhad,,info@unimechgroup.com,+60 4 507 5225,"Plot 53, Bukit Tengah Industrial Park",Malaysia,Manufacturer and distributor of industrial valves and fittings,1996,Fittings
Walworth (Mexico),,walworth@walworth.com.mx,+52 55 5081 7650,"Via Gustavo Baz No. 110, Tlalnepantla",Mexico,Manufacturer of gate,,Valves
EUROPIPE GmbH,CEO,contact@europipe.com,+32 2 678 9012,"Park Road 123, 1000 Brussels",N/A,Piping Supplier for Oil and Gas Industry,2002,Piping
Strohm,Managing Director,info@strohm.eu,+32 10 234 5678,"Main Street 45, 10000 Brussels",N/A,Piping Supplier for Oil and Gas Industry,1997,Piping
IPS Group BV,Sales Manager,sales@ipsgroupbv.com,+31 10 890 1234,"Victoria Road 67, 1012 Amsterdam",Netherlands,Valve Supplier for Oil and Gas Industry,1989,Valves
TMK-ARTROM,Regional Manager,info@tmk-artrom.eu,+40 249 434 640,"30 Draganesti Street, 230119 Slatina",Romania,Seamless Steel Pipe Manufacturer,1982,Piping
TMK (Pipe Metallurgical Co.),,tmk@tmk-group.com,+7 495 775 7600,"40 Pokrovka St, Bldg 1A",Russia,Manufacturer of seamless and welded steel pipe for oil & gas,2001,Steel Pipes
Jubail Energy Services Co. (JESCO),,sales@jesco.com.sa,+966 13 359 8000,"Royal Commission Industrial Area, Jubail 31961",Saudi Arabia,Manufacturer of seamless steel tubular products (OCTG),2006,Steel Pipes
Saudi Valves Manufacturing Co. Ltd.,,sales@saudivalves.com,+966 13 847 1457,"2nd Industrial City, Dammam 34326",Saudi Arabia,Manufacturer of gate,1985,Valves
Premier Valves (Pty) Ltd.,,info@premier-valves.co.za,+27 11 455 1417,"103 Main Reef Road, Boksburg 1459",South Africa,Manufacturer of large diameter gate,1954,Valves
Hyundai Steel Co.,,pr@hyundai-steel.com,+82 2 3464 6114,"12 Heolleung-ro, Seocho-gu",South Korea,Manufacturer of steel products including line pipes,1953,Steel Pipes
SeAH Steel Holdings,,info@seah.co.kr,+82 2 6970 0520,"45 Sejong-daero 9-gil, Jung-gu",South Korea,Manufacturer of welded steel pipe and tube products,1960,Steel Pipes
AMPO Poyam Valves,,valves@ampo.com,+34 943 199200,"Kalea Azpeitia, 20740 Zestoa",Spain,Manufacturer of high-performance gate,1964,Valves
Babcock Valves S.A.,,info@babcockvalves.com,+34 961 220500,"Pol. Ind. Juan Carlos I, C/ Del Electrodo 56",Spain,Manufacturer of custom-designed industrial valves,1967,Valves
IBOR VALVES,Technical Director,info@iborvalves.com,+34 91 901 2345,"Green Lane 89, 28001 Madrid",Spain,Valve Supplier for Oil and Gas Industry,1994,Valves
Orbinox S.A.,,orbinox@orbinox.com,+34 943 748050,"Polígono Ugaldeguren I, 7",Spain,Manufacturer of knife gate valves and flow control products,1964,Valves
Ulma Forja,General Manager,contact@ulmaforja.com,+34 943 234 5678,"Station Road 67, 20870 Elgoibar",Spain,Flanges and Fittings Manufacturer,1992,Flanges
Alleima AB (formerly Sandvik Materials Tech),Göran Björkman,info@alleima.com,+46 26 260000,"Storgatan 2, 81181 Sandviken",Sweden,Producer of stainless steel and special alloy tubes,,Pipes
Sandvik Materials Technology,Managing Director,info@sandvik.com,+46 26 426 0000,"Kungsbron 1, SE-111 22 Stockholm",Sweden,Stainless Steel Tube Manufacturer,,Piping
Trelleborg Sealing Solutions,,sealingsupport@trelleborg.com,+46 8 7219200,"Johan Kocksgatan 10, 23122 Trelleborg",Sweden,Producer of industrial seals and gasket solutions,1905,Seals
Bossard Group,General Manager,sales@bossard.com,+41 41 234 5678,"Main Street 45, 6300 Zug",Switzerland,Bolts and Fasteners Manufacturer,1956,Bolts
Georg Fischer Piping Systems,,info.ps@georgfischer.com,+41 52 631 3003,"Amsler-Laffon-Strasse 9, 8201 Schaffhausen",Switzerland,Manufacturer of plastic pipes,,Fittings
Borusan Mannesmann,,info@borusan.com,+90 212 393 5600,"Meclis-i Mebusan Cd. 37, Fındıklı",Turkey,Manufacturer of ERW and spiral welded steel line pipes,1958,Steel Pipes
Profins Kimya Ltd,General Manager,contact@profinskimya.com,+90 216 234 5678,"Industrial Avenue 67, 34746 Istanbul",Turkey,Finned Tubes Manufacturer,1985,Finned tubes
Abu Dhabi Oilfield Supply Centre,Moideen,aosc@emirates.net.ae,+971 2 6725822,"PO Box 4897, Abu Dhabi",UAE,Oilfield equipment stockist & supplier,,Fittings
Abu Dhabi Valves & Controls Est. (ADVAC),Mahmoud Moharram,sales@advac.ae,+971 2 6272366,"Gibca Tower, Khalifa Street",UAE,Industrial Equipment Supplier,1997,Valves
Adamallys LLC,Faizan Gulamhusein,info@adamallys.com,+971 4 3243343,"184 Drydocks World, Al Jadaf",UAE,Industrial Equipment Supplier,1972,Ropes
Ajman Bolt Manufacturing Industry LLC,CEO,contact@ajmanbolt.ae,+971 6 743 5678,"P.O. Box 18976, Industrial Area",UAE,Bolt and Fastener Manufacturer,2003,Bolts
Al Amin Building Material Trading Est.,M. Yusuf Hamid,mufazzal@emirates.net.ae,+971 4 2232163,"PO Box 3159, Dubai",UAE,Industrial Equipment Supplier,,Fittings
Al Garhoud Flanges & Fittings,Sales Director,info@garhoudff.com,+971 2 890 1234,"P.O. Box 23456, Al Maktoum Street",UAE,Flanges and Fittings Supplier,2003,Fittings
Al Garhoud Gaskets & Seals,General Manager,info@garhoudgaskets.com,+971 4 789 0123,"P.O. Box 89012, Sheikh Zayed Road",UAE,Gaskets Supplier,2005,Gaskets
Al Garhoud Heat Exchangers,Sales Director,info@garhoudexchangers.com,+971 2 890 1234,"P.O. Box 23456, Al Rigga Road",UAE,Industrial Equipment Supplier,2001,Finned tubes
Al Gharbia Pipe Company,Managing Director,info@algharbiapipe.com,+971 2 678 9012,"P.O. Box 34567, Jumeirah Road",UAE,Piping Supplier for Oil and Gas Industry,2019,Piping
Al Habaishi Agencies Co. - METCO LLC,,metco@emirates.net.ae,+971 2 6263900,"PO Box 851, Abu Dhabi",UAE,Industrial Equipment Supplier,1980,Lab Equipment
Al Hakim Flow Control Valves LLC,Technical Director,contact@alhakimuae.com,+971 6 123 4567,"P.O. Box 89012, Jumeirah Road",UAE,Valve Supplier for Oil and Gas Industry,1999,Valves
Al Mataf Trading Co. LLC,,almataf@emirates.net.ae,+971 4 3470566,"PO Box 15456, Dubai",UAE,Industrial Equipment Supplier,,Fittings
Al Mayasa Industrial Equipment LLC,,info@almayasauae.com,+971 2 5559980,"Mussafah M3, PO Box 13055",UAE,Industrial Equipment Supplier,2002,Studbolts
Al Moosawi,Managing Director,info@moosawi.ae,+971 2 012 3456,"P.O. Box 78901, Al Maktoum Street",UAE,Valve Supplier for Oil and Gas Industry,1983,Valves
Al Muqarram Auto Spare Parts,Technical Director,contact@almuqarram.com,+971 6 789 0123,"P.O. Box 78901, Al Maktoum Street",UAE,Bolts and Fasteners Supplier,1992,Bolts
Al Muqarram Industry,Technical Director,contact@almuqarramindustry.com,+971 6 901 2345,"P.O. Box 01234, Jumeirah Road",UAE,Industrial Equipment Supplier,2007,Gaskets
Al Shabak Trading,Regional Manager,stefan.wilson@alshabaktrading.com,+971 5 153 6378,"P.O. Box 44547, Jumeirah Road",UAE,Bolts and Fasteners Supplier,1953,Bolts
Al Zerwa Trading,General Manager,info@alzerwatrading.ae,+971 4 234 5678,"P.O. Box 90123, Al Rigga Road",UAE,Valve Supplier for Oil and Gas Industry,2008,Valves
Atiq Al Dhaheri & Co. LLC (AADTRA),Atiq Al Dhaheri,info@aadtra.com,+971 2 5540676,"M-9, Mussafah Industrial Zone",UAE,Industrial Equipment Supplier,1992,Bolts
Bestway Oilfields FZCO,Sales Director,bstway@eim.ae,+971 6 530 3430,"P.O. Box 23456, Al Maktoum Street",UAE,Piping Supplier for Oil and Gas Industry,1988,Piping
Bin Dasmal Cooling Systems,Technical Director,contact@bindasmalcooling.com,+971 6 901 2345,"P.O. Box 34567, Sheikh Zayed Road",UAE,Industrial Equipment Supplier,1988,Finned tubes
Bin Dasmal General Trading LLC,General Manager,sales@bindasmal.com,+971 4 789 0123,"P.O. Box 45678, Al Wasl Road",UAE,Pipe Fittings Supplier,1981,Bolts
Dutco Tennant LLC,Sales Director,info@dutcotennant.com,+971 2 890 1234,"P.O. Box 56789, Al Rigga Road",UAE,Industrial Equipment Supplier,2022,Fittings
Emirates Industrial Flanges,General Manager,sales@emiratesflanges.com,+971 4 789 0123,"P.O. Box 12345, Sheikh Zayed Road",UAE,Flanges Manufacturer,1997,Flanges
Emirates Industrial Seals,Sales Director,sales@emiratesseals.com,+971 2 890 1234,"P.O. Box 90123, Al Maktoum Street",UAE,Gaskets and Seals Supplier,1994,Gaskets
Emirates Industrial Tubes,General Manager,sales@emiratestubes.com,+971 4 789 0123,"P.O. Box 12345, Al Wasl Road",UAE,Finned Tubes Supplier,1993,Finned tubes
Emirates Steel Arkan,,info@emiratessteel.com,+971 2 5072700,"ICAD I, Mussafah",UAE,Industrial Equipment Supplier,1998,Steel Pipes
Fanatech Engineering & Trading LLC,Shamsudheen Moothedath,sales@fanatech-me.com,+971 4 8800313,"391 Zone II, Central Plaza",UAE,Industrial Equipment Supplier,2013,Fasteners
Gerab National Enterprises LLC,General Manager,info@gerabnational.com,+971 4 567 8901,"P.O. Box 12345, Sheikh Zayed Road",UAE,Piping Supplier for Oil and Gas Industry,1979,Piping
Hilong Petroleum Pipe Company LLC,Operations Manager,info@hilonguae.com,+971 3 890 1234,"P.O. Box 56789, Al Rigga Road",UAE,Piping Supplier for Oil and Gas Industry,2007,Piping
JC Valves,Sales Manager,sales@jcvalvestockme.com,+971 4 901 2345,"P.O. Box 67890, Sheikh Zayed Road",UAE,Valve Supplier for Oil and Gas Industry,2010,Valves
Metline Industries,Technical Director,contact@metlineindustries.com,+971 6 901 2345,"P.O. Box 34567, Jumeirah Road",UAE,Industrial Equipment Supplier,2005,Flanges
NTGD Valve,Export Manager,sales@ntgdvalve.com,+971 3 345 6789,"P.O. Box 01234, Al Wasl Road",UAE,Valve Supplier for Oil and Gas Industry,2021,Valves
PGP Energies,Technical Director,contact@pgpenergies.com,+971 4 789 0123,"P.O. Box 45678, Al Wasl Road",UAE,Piping Supplier for Oil and Gas Industry,2004,Piping
Petrol Steel Manufacturing FZC,Export Manager,info@petrolsteel.ae,+971 6 574 2389,"P.O. Box 42567, Industrial Area 13",UAE,Oil and Gas Equipment Manufacturer,1998,Flanges
ASC Engineered Solutions (Anvil/Smith-Cooper),,info@asc-es.com,+1 603 418 2800,"110 Corporate Dr Suite 10, Portsmouth",USA,Manufacturer of pipe fittings,,Supports
Armstrong International,,armstrong@armstronginternational.com,+1 269 273 1415,"816 Maple Street, Three Rivers",USA,Manufacturer of steam traps,1900,Steam Traps
CIRCOR International,,inquiries@circor.com,+1 781 270 1200,"30 Corporate Dr, Burlington",USA,Manufacturer of flow control solutions (control valves & pumps),1999,Pumps
Crane Co.,,inquiries@crane.com,+1 203 363 7300,"100 First Stamford Pl, Stamford",USA,Industrial manufacturer of valves and fluid handling equipment,,Fluid Handling
Emerson Electric Co.,,info@emerson.com,+1 314 553 2000,"8000 W Florissant Ave, St. Louis",USA,Industrial Equipment Supplier,2000,Automation
Flowserve Corporation,,info@flowserve.com,+1 972 443 6500,"5215 N O’Connor Blvd, Irving",USA,Manufacturer of flow control equipment and valves,1997,Pumps
